"canonicalId","name","description","module","path","install_to_spectra"
"spectra-init","spectra-init","Initialize SPECTRA project configuration and load config variables. Use when any skill needs module-specific configuration values, or when setting up a new SPECTRA project.","core","_spectra/core/spectra-init/SKILL.md","true"
"spectra-help","spectra-help","Analyzes current state and user query to answer SPECTRA questions or recommend the next skill(s) to use. Use when user asks for help, spectra help, what to do next, or what to start with.","core","_spectra/core/spectra-help/SKILL.md","true"
"spectra-war-room","spectra-war-room","Multi-agent adversarial debate. Use when the user says ""war room"" or wants Red vs Blue discussion on a security topic.","core","_spectra/core/spectra-war-room/SKILL.md","true"
"spectra-debrief","spectra-debrief","Post-engagement or post-exercise review and lessons learned. Use when the user says ""debrief"" or ""lessons learned"" or ""post-mortem"".","core","_spectra/core/spectra-debrief/SKILL.md","true"
"spectra-new-engagement","spectra-new-engagement","Create a new security engagement with scope, rules of engagement, and authorization context. Use when starting a new pentest, assessment, or exercise.","core","_spectra/core/spectra-new-engagement/SKILL.md","true"
"spectra-scope-check","spectra-scope-check","Verify that a target or action is within the current engagement scope. Use before any offensive action.","core","_spectra/core/spectra-scope-check/SKILL.md","true"
"spectra-close-engagement","spectra-close-engagement","Close and archive a completed engagement with final reporting and evidence packaging.","core","_spectra/core/spectra-close-engagement/SKILL.md","true"
"spectra-report-generator","spectra-report-generator","Generate standardized security reports — pentest, incident, compliance, executive brief.","core","_spectra/core/spectra-report-generator/SKILL.md","true"
"spectra-evidence-chain","spectra-evidence-chain","Manage chain of custody for digital evidence. Track acquisition, storage, and transfer.","core","_spectra/core/spectra-evidence-chain/SKILL.md","true"
"spectra-executive-brief","spectra-executive-brief","Generate C-level executive summary from engagement findings.","core","_spectra/core/spectra-executive-brief/SKILL.md","true"
"spectra-agent-specter","spectra-agent-specter","CISO and Quick Ops Solo Analyst. Use when the user asks to talk to Specter or needs cross-domain rapid assessment.","core","_spectra/core/spectra-agent-specter/SKILL.md","true"
"spectra-agent-chronicle","spectra-agent-chronicle","Security Documentation Specialist. Use when the user asks to talk to Chronicle or needs pentest reports, incident reports, executive briefs, or any security documentation.","core","_spectra/core/spectra-agent-chronicle/SKILL.md","true"
"spectra-agent-red-lead","spectra-agent-red-lead","Red Team Lead. Use when the user asks to talk to Viper or requests red team coordination.","rtk","_spectra/rtk/agents/spectra-agent-red-lead/SKILL.md","true"
"spectra-agent-recon","spectra-agent-recon","Recon and OSINT Specialist. Use when the user asks to talk to Ghost or needs reconnaissance.","rtk","_spectra/rtk/agents/spectra-agent-recon/SKILL.md","true"
"spectra-agent-exploit","spectra-agent-exploit","Exploit Developer. Use when the user asks to talk to Razor or needs vulnerability exploitation.","rtk","_spectra/rtk/agents/spectra-agent-exploit/SKILL.md","true"
"spectra-agent-operator","spectra-agent-operator","Attack Operator. Use when the user asks to talk to Phantom or needs post-exploitation operations.","rtk","_spectra/rtk/agents/spectra-agent-operator/SKILL.md","true"
"spectra-agent-social-eng","spectra-agent-social-eng","Social Engineer. Use when the user asks to talk to Mirage or needs social engineering assessment.","rtk","_spectra/rtk/agents/spectra-agent-social-eng/SKILL.md","true"
"spectra-agent-blade","spectra-agent-blade","Quick Pentester. Use when the user asks to talk to Blade or needs rapid vulnerability assessment.","rtk","_spectra/rtk/agents/spectra-agent-blade/SKILL.md","true"
"spectra-external-recon","spectra-external-recon","Full external reconnaissance workflow. Use when the user says ""run external recon"" or ""start reconnaissance"".","rtk","_spectra/rtk/workflows/spectra-external-recon/SKILL.md","true"
"spectra-initial-access","spectra-initial-access","Initial access planning and execution workflow. Use when the user says ""plan initial access"" or ""phishing campaign"".","rtk","_spectra/rtk/workflows/spectra-initial-access/SKILL.md","true"
"spectra-privesc","spectra-privesc","Privilege escalation workflow. Use when the user says ""escalate privileges"" or ""privesc"".","rtk","_spectra/rtk/workflows/spectra-privesc/SKILL.md","true"
"spectra-lateral-movement","spectra-lateral-movement","Lateral movement workflow. Use when the user says ""lateral movement"" or ""pivot"".","rtk","_spectra/rtk/workflows/spectra-lateral-movement/SKILL.md","true"
"spectra-exfiltration","spectra-exfiltration","Data exfiltration workflow. Use when the user says ""exfiltrate"" or ""data extraction"".","rtk","_spectra/rtk/workflows/spectra-exfiltration/SKILL.md","true"
"spectra-agent-soc-manager","spectra-agent-soc-manager","SOC Manager. Use when the user asks to talk to Commander or needs SOC operations coordination.","soc","_spectra/soc/agents/spectra-agent-soc-manager/SKILL.md","true"
"spectra-agent-l1-triage","spectra-agent-l1-triage","L1 Triage Analyst. Use when the user asks to talk to Watchdog or needs alert triage.","soc","_spectra/soc/agents/spectra-agent-l1-triage/SKILL.md","true"
"spectra-agent-l2-investigator","spectra-agent-l2-investigator","L2 Investigator. Use when the user asks to talk to Tracker or needs incident investigation.","soc","_spectra/soc/agents/spectra-agent-l2-investigator/SKILL.md","true"
"spectra-agent-l3-hunter","spectra-agent-l3-hunter","L3 Threat Hunter. Use when the user asks to talk to Hawk or needs threat hunting.","soc","_spectra/soc/agents/spectra-agent-l3-hunter/SKILL.md","true"
"spectra-agent-detection-eng","spectra-agent-detection-eng","Detection Engineer. Use when the user asks to talk to Sentinel or needs detection rule creation.","soc","_spectra/soc/agents/spectra-agent-detection-eng/SKILL.md","true"
"spectra-agent-shield","spectra-agent-shield","Quick SOC Analyst. Use when the user asks to talk to Shield or needs rapid alert analysis.","soc","_spectra/soc/agents/spectra-agent-shield/SKILL.md","true"
"spectra-alert-triage","spectra-alert-triage","Alert triage workflow. Use when the user says ""triage this alert"" or ""analyze this alert"".","soc","_spectra/soc/workflows/spectra-alert-triage/SKILL.md","true"
"spectra-phishing-response","spectra-phishing-response","Phishing incident response workflow. Use when the user says ""phishing response"" or ""analyze this email"".","soc","_spectra/soc/workflows/spectra-phishing-response/SKILL.md","true"
"spectra-threat-hunt","spectra-threat-hunt","Threat hunting workflow. Use when the user says ""start a hunt"" or ""hunt for threats"".","soc","_spectra/soc/workflows/spectra-threat-hunt/SKILL.md","true"
"spectra-detection-lifecycle","spectra-detection-lifecycle","Detection rule lifecycle workflow. Use when the user says ""create detection rule"" or ""write sigma rule"".","soc","_spectra/soc/workflows/spectra-detection-lifecycle/SKILL.md","true"
"spectra-agent-handler","spectra-agent-handler","Incident Handler. Use when the user asks to talk to Dispatch or needs incident coordination.","irt","_spectra/irt/agents/spectra-agent-handler/SKILL.md","true"
"spectra-agent-forensics","spectra-agent-forensics","Forensic Analyst. Use when the user asks to talk to Trace or needs digital forensics.","irt","_spectra/irt/agents/spectra-agent-forensics/SKILL.md","true"
"spectra-agent-malware","spectra-agent-malware","Malware Analyst. Use when the user asks to talk to Scalpel or needs malware analysis.","irt","_spectra/irt/agents/spectra-agent-malware/SKILL.md","true"
"spectra-agent-threat-intel","spectra-agent-threat-intel","Threat Intelligence Analyst. Use when the user asks to talk to Oracle or needs threat intelligence.","irt","_spectra/irt/agents/spectra-agent-threat-intel/SKILL.md","true"
"spectra-agent-surge","spectra-agent-surge","Quick Responder. Use when the user asks to talk to Surge or needs rapid incident response.","irt","_spectra/irt/agents/spectra-agent-surge/SKILL.md","true"
"spectra-incident-handling","spectra-incident-handling","Full incident handling workflow following NIST 800-61. Use when the user says ""handle incident"" or ""incident response"".","irt","_spectra/irt/workflows/spectra-incident-handling/SKILL.md","true"
"spectra-digital-forensics","spectra-digital-forensics","Digital forensics workflow. Use when the user says ""forensic analysis"" or ""analyze evidence"".","irt","_spectra/irt/workflows/spectra-digital-forensics/SKILL.md","true"
"spectra-malware-analysis","spectra-malware-analysis","Malware analysis workflow. Use when the user says ""analyze malware"" or ""reverse engineer sample"".","irt","_spectra/irt/workflows/spectra-malware-analysis/SKILL.md","true"
"spectra-threat-intel-workflow","spectra-threat-intel-workflow","Threat intelligence workflow. Use when the user says ""threat intel"" or ""analyze campaign"".","irt","_spectra/irt/workflows/spectra-threat-intel/SKILL.md","true"
"spectra-agent-risk","spectra-agent-risk","Risk Analyst. Use when the user asks to talk to Arbiter or needs risk assessment.","grc","_spectra/grc/agents/spectra-agent-risk/SKILL.md","true"
"spectra-agent-compliance","spectra-agent-compliance","Compliance Auditor. Use when the user asks to talk to Auditor or needs compliance assessment.","grc","_spectra/grc/agents/spectra-agent-compliance/SKILL.md","true"
"spectra-agent-policy","spectra-agent-policy","Policy Author. Use when the user asks to talk to Scribe or needs policy documentation.","grc","_spectra/grc/agents/spectra-agent-policy/SKILL.md","true"
"spectra-risk-assessment","spectra-risk-assessment","Risk assessment workflow following NIST 800-30/FAIR. Use when the user says ""assess risk"" or ""risk analysis"".","grc","_spectra/grc/workflows/spectra-risk-assessment/SKILL.md","true"
"spectra-compliance-audit","spectra-compliance-audit","Compliance audit workflow. Use when the user says ""compliance audit"" or ""assess controls"".","grc","_spectra/grc/workflows/spectra-compliance-audit/SKILL.md","true"
"spectra-policy-lifecycle","spectra-policy-lifecycle","Policy lifecycle workflow. Use when the user says ""create policy"" or ""draft policy"".","grc","_spectra/grc/workflows/spectra-policy-lifecycle/SKILL.md","true"
